Symbol,Company Name,Index Weight
SHW,SHERWIN WILLIAMS CO/THE,0.12487
HOOD,ROBINHOOD MARKETS INC   A,0.123603
MDLZ,MONDELEZ INTERNATIONAL INC A,0.123514
VLO,VALERO ENERGY CORP,0.12185
HLT,HILTON WORLDWIDE HOLDINGS IN,0.119894
AEP,AMERICAN ELECTRIC POWER,0.119391
CRH,CRH PLC,0.118744
CI,THE CIGNA GROUP,0.118351
COHR,COHERENT CORP,0.117782
ORLY,O REILLY AUTOMOTIVE INC,0.117414
MPC,MARATHON PETROLEUM CORP,0.117344
TDG,TRANSDIGM GROUP INC,0.117165
INTU,INTUIT INC,0.117135
CL,COLGATE PALMOLIVE CO,0.116569
SPG,SIMON PROPERTY GROUP INC,0.116413
ECL,ECOLAB INC,0.113682
EOG,EOG RESOURCES INC,0.111749
GM,GENERAL MOTORS CO,0.111421
NSC,NORFOLK SOUTHERN CORP,0.111213
SLB,SLB LTD,0.111175
URI,UNITED RENTALS INC,0.111142
AON,AON PLC CLASS A,0.111079
ITW,ILLINOIS TOOL WORKS,0.110901
ICE,INTERCONTINENTAL EXCHANGE IN,0.110828
NXPI,NXP SEMICONDUCTORS NV,0.110678
FDX,FEDEX CORP,0.110625
TRV,TRAVELERS COS INC/THE,0.110134
DASH,DOORDASH INC   A,0.10962
PSX,PHILLIPS 66,0.108882
MNST,MONSTER BEVERAGE CORP,0.108814
ROST,ROSS STORES INC,0.108706
TER,TERADYNE INC,0.108164
CIEN,CIENA CORP,0.107032
MCO,MOODY S CORP,0.10697
MSI,MOTOROLA SOLUTIONS INC,0.105782
NOC,NORTHROP GRUMMAN CORP,0.105608
WBD,WARNER BROS DISCOVERY INC,0.104855
BSX,BOSTON SCIENTIFIC CORP,0.104014
FIX,COMFORT SYSTEMS USA INC,0.103034
KMI,KINDER MORGAN INC,0.102813
MPWR,MONOLITHIC POWER SYSTEMS INC,0.102023
DLR,DIGITAL REALTY TRUST INC,0.10086
TGT,TARGET CORP,0.100701
LITE,LUMENTUM HOLDINGS INC,0.100557
PCAR,PACCAR INC,0.100489
REGN,REGENERON PHARMACEUTICALS,0.100066
TFC,TRUIST FINANCIAL CORP,0.099527
KKR,KKR + CO INC,0.098593
APD,AIR PRODUCTS + CHEMICALS INC,0.097905
ALL,ALLSTATE CORP,0.097586
SRE,SEMPRA,0.097502
D,DOMINION ENERGY INC,0.096557
ABNB,AIRBNB INC CLASS A,0.096248
HCA,HCA HEALTHCARE INC,0.096234
DAL,DELTA AIR LINES INC,0.095607
O,REALTY INCOME CORP,0.093123
GWW,WW GRAINGER INC,0.093002
TRGP,TARGA RESOURCES CORP,0.09257
CTAS,CINTAS CORP,0.092264
AJG,ARTHUR J GALLAGHER + CO,0.091869
HPE,HEWLETT PACKARD ENTERPRISE,0.091732
TEL,TE CONNECTIVITY PLC,0.091321
CARR,CARRIER GLOBAL CORP,0.090901
KEYS,KEYSIGHT TECHNOLOGIES IN,0.088968
OKE,ONEOK INC,0.088936
BKR,BAKER HUGHES CO,0.088793
CAH,CARDINAL HEALTH INC,0.088171
COR,CENCORA INC,0.088088
F,FORD MOTOR CO,0.087499
CTVA,CORTEVA INC,0.08743
AFL,AFLAC INC,0.087077
NUE,NUCOR CORP,0.086402
APO,APOLLO GLOBAL MANAGEMENT INC,0.086316
AME,AMETEK INC,0.086141
LHX,L3HARRIS TECHNOLOGIES INC,0.085849
FAST,FASTENAL CO,0.085552
FLEX,FLEX LTD,0.085338
ETR,ENTERGY CORP,0.083969
ROK,ROCKWELL AUTOMATION INC,0.083922
EW,EDWARDS LIFESCIENCES CORP,0.082706
VST,VISTRA CORP,0.081993
AZO,AUTOZONE INC,0.081528
XEL,XCEL ENERGY INC,0.081222
PSA,PUBLIC STORAGE,0.081103
FITB,FIFTH THIRD BANCORP,0.080552
NKE,NIKE INC  CL B,0.077336
DVN,DEVON ENERGY CORP,0.076775
EXC,EXELON CORP,0.076736
EBAY,EBAY INC,0.075774
MCHP,MICROCHIP TECHNOLOGY INC,0.075287
STT,STATE STREET CORP,0.073608
MET,METLIFE INC,0.073498
